Fika,Wienerbröd,Mazariner,Dammsugare,Kärleksmums,Munk,Morotskaka,Skumraket,Chokladbollar,Muffins,Bullar,Småkakor,,,,,
Pris,15kr,12kr,12kr,12kr,12kr,12kr,10kr,12kr,15kr,15kr,2kr,,,,,
Visa,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,
,,,,,,,,,,,,,,,,
Dryck,Kaffe/Te/Choklad,Smakis,Ramlösa,Läsk,Kiviks Apelsin/Äpple,Froosh Liten,Mer,Aloe Vera,Vitamin Well,ProPud Milkshake,Liten Pucko,Stor Pucko,Starbucks,,,
Pris,10kr,10kr,13kr,20kr,10kr,25kr,20kr,20kr,20kr,25kr,15kr,25kr,25kr,,,
Visa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,,,
,,,,,,,,,,,,,,,,
Färdigmat,Grillad panini,Grillad wrap,Thailåda,Snackpot,Billys panpizza,Gorbys pirog,Paj,,,,,,,,,
Pris,40kr,40kr,40kr,20kr,20kr,20kr,40kr,,,,,,,,,
Visa,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,,,
,,,,,,,,,,,,,,,,
Baguette,Köttbullar-potatis,Kycklingröra,Rostbiff-potatis,Kalkon-Ost,,,,,,,,,,,,
Pris,30kr,30kr,30kr,30kr,,,,,,,,,,,,
Visa,TRUE,TRUE,TRUE,TRUE,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
Mellanmål,Frukt,Wasa Sandwich,Yoggi,Risifrutti,Tekaka Kalkon/ost eller ost,Ostfralla Kalkon/ost eller ost,Toast Kalkon/ost eller ost,Rågsiktsmacka,Polarklämma ost/ren,,,,,,,
Pris,5kr,10kr,20kr,15kr,15kr,15kr,20kr,25kr,12kr,,,,,,,
Visa,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,,,,,
,,,,,,,,,,,,,,,,
Godis,Daim(enkel-dubbel),Kit Kat,Twix,Corny big,Kexchoklad,Marabou choklad,Dragster,S Märke,Sura/cola nappar,Ahlgrens bilar,Polly,Bananaskids,Mini refreshers,Klubbor,Mentos,Dextro
Pris,10/15kr,15kr,15kr,15kr,15kr,20kr,10kr,15kr,15kr,25kr,25kr,2kr,2kr,3kr,10kr,15kr
Visa,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE
